FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
202,55.680217,12.550173,6.959585369,1,5.963592762,6.222901602,6.726337016,4.87725525
203,55.680329,12.549686,7.768538584,1,7.722549233,6.666935925,5.210682409,4.978186927
204,55.680441,12.549199,7.083382453,1,7.047089601,6.019917397,5.795614718,5.487281869
205,55.678929,12.556688,8.084035133,1,7.545599884,6.673030154,7.47968654,6.486801242
206,55.678446,12.556558,6.673263531,1,5.47852627,4.851525473,3.72434754,5.705967169
207,55.680647,12.55106,7.262311936,1,6.639052394,6.459689636,6.647794808,5.479517894
208,55.680527,12.551546,5.031585859,1,4.877915849,4.391816967,3.197237125,5.06433008
209,55.680407,12.552031,5.861497277,1,4.128333697,3.998739316,6.077107029,4.985026619
210,55.680181,12.553005,4.460996254,1,3.10442555,4.365938418,5.61748463,5.667701863
211,55.680072,12.553493,7.594261672,1,4.787806119,6.022506317,6.617998979,5.231625259
212,55.679962,12.553981,7.390773779,1,7.083060824,6.79846787,5.943438733,5.500406684
213,55.679852,12.554468,6.368792402,1,5.694716954,5.988713971,7.177039119,5.345127181
214,55.680999,12.550736,7.1173413,1,6.334568709,5.961605518,7.244917224,5.396517303
215,55.681117,12.55025,7.647411847,1,6.85088293,5.313564082,7.233911392,5.26748743
216,55.681234,12.549764,6.869517397,1,5.952692392,5.897224607,7.195462352,5.049356699
217,55.681352,12.549278,6.537723765,1,6.329481869,6.52668935,5.143645999,4.427868974
218,55.681793,12.556808,6.616698803,1,3.822396628,4.921334261,5.841523717,4.962104407
219,55.681458,12.556437,7.050859437,1,5.514497493,4.293475075,6.923290527,5.510019225
220,55.681119,12.556069,7.178880261,1,5.258338784,6.051157171,4.566678035,6.350192251
221,55.68078,12.555702,6.68013521,1,5.974493133,5.528427463,6.605855932,5.528874593
222,55.680431,12.555344,7.062102206,1,4.595959596,5.681712995,5.098076395,5.923728187
223,55.680057,12.555015,7.299890551,1,4.173751908,5.759443853,6.438245549,5.441622301
224,55.679614,12.554805,6.812615965,1,6.053339147,5.247922419,6.605240078,5.178386572
225,55.679116,12.554779,5.902436546,1,5.795363709,5.778980476,5.824839295,5.030871044
226,55.678618,12.554767,6.228405485,1,5.795363709,6.218285258,5.832628437,5.030871044
227,55.678155,12.554599,6.450909386,1,6.054429184,5.647679451,6.432703807,5.270629991
228,55.680549,12.553511,7.213122064,1,5.707070707,6.709075823,5.002077679,5.783052351
229,55.68097,12.553781,6.963283075,1,5.22999782,6.19240819,5.307672124,5.963657202
230,55.68139,12.554052,5.451352632,1,4.128333697,3.745896561,4.260098951,4.399216208
231,55.675187,12.54687,7.614537221,1,4.468061914,5.144800287,7.151442785,5.171916593
232,55.67562,12.547121,5.830974264,1,6.251725892,6.323515471,5.760389408,4.394409938
233,55.676052,12.547372,7.748708051,1,6.859603226,5.696198,7.122082443,5.53442029
234,55.676485,12.547623,7.189636649,1,6.645955962,6.075755087,6.100715774,5.175983437
235,55.676917,12.547874,8.470801389,1,5.30412034,6.042472181,5.522623041,6.187888199
236,55.67735,12.548124,6.765325754,1,5.091563113,4.67860486,5.318756897,5.83887903
237,55.677782,12.548375,7.120017536,1,5.634038224,5.23458002,5.245808638,6.323018338
238,55.678215,12.548626,7.328427884,1,5.379332897,5.717189734,5.638067388,5.505767524
239,55.679063,12.549156,6.632936863,1,6.344015696,4.316086136,6.895443045,5.082261165
240,55.679483,12.549427,6.718731544,1,6.544582516,4.613578553,7.233661804,4.895001479
241,55.67937,12.550593,5.076856453,1,3.523363128,3.211098356,3.410875705,5.053423543
242,55.678947,12.550327,5.747985405,1,5.723421263,5.529752021,3.241984065,6.075680272
243,55.678524,12.550061,7.084060531,1,6.79274762,4.907105804,7.588947985,5.429976338
244,55.67749,12.551316,7.329825653,1,5.858222513,6.701674683,6.525528352,5.058044957
245,55.67709,12.551016,7.042596341,1,6.740062495,5.318310633,6.63718445,5.104998521
246,55.678205,12.551995,7.701003289,1,6.692827556,6.355235979,6.573708989,6.590690624
247,55.678618,12.552277,6.28815402,1,5.305210377,5.740642205,6.083881569,5.281351671
248,55.679009,12.552587,5.962544703,1,3.71775307,4.654284979,4.765004137,5.432934043
249,55.679428,12.552861,5.987424421,1,6.537315602,6.307500134,5.835245067,4.886867791
250,55.67849,12.553762,7.139311753,1,4.697696388,5.452897627,4.309802377,5.798765158
251,55.678754,12.55355,8.370657483,1,5.2990335,5.838636388,4.903030132,6.296214138
252,55.678887,12.553068,7.441361236,1,7.185524308,6.098666936,6.69499074,5.971975747
253,55.676027,12.554555,6.435422632,1,4.379768912,5.553760383,4.638555187,5.605220349
